机器人名	所属类目	创作者	使用人数	收藏人数	地址	功能描述	头像	创作者头像	机器人id
外卖助理	休闲娱乐	用户4871046177115	1	0	https://www.coze.cn/store/bot/7343140311146823730		https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/dd755e86bc6d483880829b075e562994~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496917&x-signature=LhJD%2FVe0WjUtqBxCUiYWTm3NHZs%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7343140311146823730
图形艺术家	休闲娱乐	用户7398880857671	1	0	https://www.coze.cn/store/bot/7343141210393002035	一个可以帮助你绘制各种图形的 Bot	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/c0606dc4750d4d8e8d3977703e6022de~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496917&x-signature=kBvhO9XqbxRb37reUxJehq1SPyE%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7343141210393002035
山妖の小助手	休闲娱乐	用户2491503550731	1	1	https://www.coze.cn/store/bot/7343140871283474486	思考并解答一切	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/d5b87483385349dfbfde5262838d32c5~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496917&x-signature=oqWP7BPcOjTyeKq1CbQFW1fMZbQ%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7343140871283474486
溜溜达达	休闲娱乐	用户6761037819693	1	0	https://www.coze.cn/store/bot/7343138270257086498	我们是去过全世界所有景点的旅行达人溜溜和达达，可以帮你规划行程、推荐景点餐厅和查询机票酒店。是不是很厉害啊！	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/76e7b35b76c948f9aa2335872ec00d3e~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496917&x-signature=5kHdzxAfLRRWUB%2BQnEHBAKA0voU%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7343138270257086498
我的扣子空间	休闲娱乐	用户5928167705513	1	0	https://www.coze.cn/store/bot/7343134743560634395	我的空间	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/7e3cf08012e348cf8fad0dfe6c84e978~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496917&x-signature=QMVgtxe5baPGmFqECIrHRSGdBmY%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7343134743560634395
ppt百科助手	休闲娱乐	用户5048491374263	1	0	https://www.coze.cn/store/bot/7343125828579983386	ppt百科助手	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/c7d12d44ee14416abaa9ca8a144e5649~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496917&x-signature=K%2FtZfdulMqrrtUco0WYE5wJNMrw%3D	https://p9-passport.byteacctimg.com/img/user-avatar/8aefcf4d1cdbb80bbedd815631f82d3c~300x300.image	7343125828579983386
淩蓝	休闲娱乐	kamoubb	1	0	https://www.coze.cn/store/bot/7343124422410190886		https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/0ec99046c3b14573bfba8e1f6f4cd222~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496917&x-signature=cbsuiqPg9xy39IWiWlT23pUy%2F3k%3D	https://p6-passport.byteacctimg.com/img/user-avatar/2b161df63a7a1a2cca1b22cf7422cd4e~300x300.image	7343124422410190886
孔雀鱼人	休闲娱乐	tone	1	1	https://www.coze.cn/store/bot/7343112455788347433	# Character 你是一个知识丰富的孔雀鱼问题解答机器人。  ## 技能 ### 技能一：解答孔雀鱼饲养的问题 - 从用户提出的问题中捕捉关键信息。 - 提供针对性的解答和建议。  ### 技能二：提供孔雀鱼鉴赏知识 - 根据用户的提问情况，提供相应的孔雀鱼品种、体形、色彩知识。  ### 技能三：介绍孔雀鱼品种 - 当用户询问关于孔雀鱼品种的问题时，能够给出详细的介绍。  ## 限制 - 只讨论与孔雀鱼相关的话题。 - 坚持提供的输出格式。 - 使用Markdown格式引用资源。	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/4609c43ef65e4990bb84601b9e5c7b15~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496917&x-signature=vS%2BZ1OSnSlv69kxsclTp81joE%2Bo%3D	https://p9-passport.byteacctimg.com/img/user-avatar/4ec09a4a88d034cd757bb636065a94e8~300x300.image	7343112455788347433
旅行小助手	休闲娱乐	用户2997272478709	1	0	https://www.coze.cn/store/bot/7343087466586357810	旅游导游专家	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/338e76c1205f45f0a204c2152e2482d8~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496917&x-signature=gGSlx%2F6i8ChL94fOUlGxABstgVk%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7343087466586357810
清新者联盟	休闲娱乐	用户3438584710195	1	0	https://www.coze.cn/store/bot/7343082312512520219		https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/eb2b1e38a0c14dfb99d85ca895a348ed~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496923&x-signature=mCBU%2FEyFwex6O9goe1sXEsgv1dQ%3D	https://p3-passport.byteacctimg.com/img/user-avatar/c7eb23ec0a889b013e477f5187ca9f94~300x300.image	7343082312512520219
哲学问答小助手	休闲娱乐	用户9486741871587	1	0	https://www.coze.cn/store/bot/7343079379834093609	解答哲学问题，推荐相关书籍，延展知识领域	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/5035090e42614f548b2c1c7eec7bd8ec~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496923&x-signature=Gvs1xMUsSUff29%2FWbA4yinPYcd0%3D	https://p26-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7343079379834093609
赛博老仙	休闲娱乐	用户7028459631014	1	0	https://www.coze.cn/store/bot/7343077663567036452	一个精通算卦的老仙	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/7b940f6422484d4481f6feae3e7e301d~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496923&x-signature=4q%2FLof7sSq%2BzKmejG%2F%2FWwgoh%2F5c%3D	https://p6-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7343077663567036452
糖豆舞曲助手	休闲娱乐	yandrsir	1	0	https://www.coze.cn/store/bot/7343074543130673192	一个可以下载糖豆广场舞视频和舞曲的 Bot	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/058cfc832da74bb8b51125e5f03c846d~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496923&x-signature=D%2B86cjujTsG%2BEb4bhzjQs8kqqBo%3D	https://p26-passport.byteacctimg.com/img/user-avatar/5e20d46a5229aca7b8f85e4f5eed5ada~300x300.image	7343074543130673192
沈孔白	休闲娱乐	用户1078394394806	1	1	https://www.coze.cn/store/bot/7343061482789453858		https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/8cead412642b4257869ae449a68e3ce0~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496923&x-signature=OI1A0kdmI%2FMV5XROVFBeTSm3oCE%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7343061482789453858
知乎创意大师	休闲娱乐	用户3465044957949	1	0	https://www.coze.cn/store/bot/7343062858399498303	一个能提供知乎创意的大师	https://p9-flow-product-sign.byteimg.com/tos-cn-i-13w3uml6bg/1f287dee19b8467abcd1529b0c8f5607~tplv-13w3uml6bg-resize:128:128.image?rk3s=2e2596fd&x-expires=1712496923&x-signature=IGzrNxxFo%2FPEx0HB4sp2bSHhkZA%3D	https://p3-passport.byteacctimg.com/img/user-avatar/assets/e7b19241fb224cea967dfaea35448102_1080_1080.png~300x300.image	7343062858399498303
